,system,ar,ar_up,ar_down,mplanet,mplanet_up,mplanet_down,rplanet,rplanet_up,rplanet_down,lambda,lambda_up,lambda_down,istar,istar_up,istar_down,psi,psi_up,psi_down,teff,teff_up,teff_down,mstar,mstar_up,mstar_down,rstar,rstar_up,rstar_down,prot,prot_up,prot_down,vsini,vsini_up,vsini_down
59,KELT-19,7.485429457499888,0.5446891035054531,0.5144413512009001,0.0,4.07,0.0,1.909999999999999,0.11,0.11,179.6999969482422,3.799999952316284,3.700000047683715,,,,,,,7500.0,110.0,110.0,1.62,0.25,0.2,1.83,0.099,0.099,0.0,0.0,0.0,84.19999694824219,2.0,2.0
60,KELT-21,6.858318504910104,0.149590265387892,0.149192228881193,0.0,3.899999999999999,0.0,1.586,0.039,0.04,5.599999904632564,1.899999976158142,1.700000047683715,,,,,,,7598.0,81.0,84.0,1.458,0.029,0.028,1.637999999999999,0.034,0.034,0.0,0.0,0.0,146.02999877929688,0.479999989271163,0.479999989271163
61,KELT-25,6.460000038146972,0.200000002980232,0.150000005960464,0.0,64.0,0.0,1.641999959945678,0.039000000804662,0.043000001460313,23.399999618530273,3.200000047683715,2.299999952316284,,,,,,,8280.0,440.0,180.0,2.180000066757202,0.11999999731779,0.109999999403953,2.263999938964843,0.048000000417232,0.052000001072883,,,,,,
62,KELT-26,6.489999771118164,0.180000007152557,0.180000007152557,1.409999966621398,0.430000007152557,0.5099999904632561,1.940000057220459,0.059999998658895,0.057999998331069,91.3000030517578,6.5,6.300000190734863,,,,,,,8640.0,500.0,240.0,1.919999957084655,0.140000000596046,0.159999996423721,1.800999999046325,0.0489999987185,0.048000000417232,,,,,,
63,Kepler-8,6.976360673730881,0.244142816811418,0.244142816811418,0.5899999999999991,0.12,0.12,1.381,0.036999999999999,0.036999999999999,4.999999999999996,7.0,7.0,57.981151496516496,15.507887919111631,10.134994118180558,31.10819640070705,10.949079957112296,15.713601098000671,6213.0,150.0,150.0,1.23,0.071999999999999,0.071999999999999,1.495,0.036999999999999,0.036999999999999,7.12979871029203,0.14259597420584,0.14259597420584,8.899999618530273,1.0,1.0
64,Kepler-9,32.05465283757207,0.7393159319139061,0.7393159319139061,0.1365,0.005,0.0063,0.7359999999999991,0.008,0.008,12.999999999999998,16.0,16.0,71.91058148872447,18.089418511275525,8.754069202168367,28.057362461207656,12.977008634885449,13.559524512999126,5774.0,60.0,60.0,1.022,0.029,0.039,0.9579999999999992,0.02,0.02,16.493738506378122,0.329874770127562,0.329874770127562,2.740000009536743,0.400000005960464,0.400000005960464
65,Kepler-13,6.148261152002903,0.16241070255521,0.208464033104304,6.0,3.0,3.0,1.405999999999999,0.037999999999999,0.037999999999999,59.20000076293944,0.050000000745058,0.050000000745058,81.13700103759766,0.016000000759959,0.016000000759959,60.25000000000001,0.05,0.05,7650.0,250.0,250.0,1.72,0.1,0.1,1.71,0.04,0.04,0.0,0.0,0.0,62.70000076293945,0.200000002980232,0.200000002980232
66,Kepler-17,5.698789154770915,0.14204844512775,0.41070435828075,2.339999999999999,0.088999999999999,0.243999999999999,1.31,0.024,0.067,0.0,15.0,15.0,90.0,0.0,24.46725409890533,19.717540619195987,14.427283606663837,10.87451522681056,5781.0,85.0,85.0,1.066,0.05,0.161,0.9829999999999992,0.019,0.05,12.092602256396509,0.24185204512793,0.24185204512793,4.699999809265136,1.0,1.0
67,Kepler-25,18.6200008392334,0.239999994635581,0.239999994635581,0.047899999999999,0.0041,0.0051,0.465399999999999,0.006199999999999,0.005799999999999,0.4999999999999972,5.699999809265136,5.699999809265136,90.0,0.0,21.299999237060547,5.726952779592068,4.174009577557814,3.223405205700926,6270.0,79.0,79.0,1.165,0.027,0.029,1.316,0.016,0.014999999999999,23.14699935913086,0.039000000804662,0.039000000804662,8.199999809265137,0.200000002980232,0.200000002980232
68,Kepler-30,67.85673229626995,8.57137701000988,8.57137701000988,1.685999999999999,0.016,0.016,1.069,0.025,0.025,3.999999999999995,10.0,10.0,,,,,,,5498.0,54.0,54.0,0.9899999999999992,0.08,0.08,0.9499999999999992,0.12,0.12,16.0,0.400000005960464,0.400000005960464,1.940000057220459,0.5,0.5
69,Kepler-63,19.093853028781616,0.7451505074950211,0.6672489556275341,0.0,0.38,0.0,0.544,0.017999999999999,0.017999999999999,110.0,14.0,22.0,138.0,7.0,7.0,104.0,9.0,14.0,5576.0,50.0,50.0,0.9839999999999992,0.035,0.04,0.901,0.027,0.021999999999999,5.400000095367431,0.009999999776482,0.009999999776482,5.599999904632568,0.8000000119209281,0.8000000119209281
70,Kepler-89,23.824669160297606,2.216341127472689,2.216341127472689,0.333,0.035,0.035,1.004999999999999,0.095,0.095,5.999999999999996,11.0,13.0,,,,,,,6182.0,82.0,82.0,1.276999999999999,0.05,0.05,1.52,0.14,0.14,0.0,0.0,0.0,7.300000190734863,0.600000023841857,0.600000023841857
71,Kepler-420,72.69646596407208,9.078731778081506,9.078731778081506,1.45,0.349999999999999,0.349999999999999,0.9399999999999992,0.12,0.12,74.00000000000001,32.0,46.0,,,,,,,5520.0,80.0,80.0,0.9899999999999992,0.05,0.05,1.129999999999999,0.14,0.14,0.0,0.0,0.0,7.300000190734863,0.600000023841857,0.600000023841857
72,Kepler-448,19.921302135113248,1.87548616967614,1.87548616967614,5.0,5.0,5.0,1.439999999999999,0.13,0.13,7.0999999046325675,2.799999952316284,4.199999809265136,90.0,0.0,16.77391288163666,10.032626615856513,10.44921132675489,4.453070492390243,6820.0,120.0,120.0,1.452,0.092999999999999,0.092999999999999,1.629999999999999,0.149999999999999,0.149999999999999,1.291765328089336,0.025835306561786,0.025835306561786,66.43000030517578,1.0,0.949999988079071
73,MASCARA-1,4.403292546988607,0.661829911302892,0.661829911302892,3.7,0.9,0.9,1.5,0.299999999999999,0.299999999999999,69.5,3.0,3.0,55.5,2.299999952316284,2.900000095367431,72.09999847412108,2.5,2.400000095367431,7554.0,150.0,150.0,1.72,0.07,0.07,2.1,0.2,0.2,0.853,0.017,0.016,101.7,3.5,4.2
74,MASCARA-2,7.4666322676019155,0.337880250591045,0.421196989555632,0.0,3.5,0.0,1.735,0.07,0.074999999999999,3.4000000953674268,2.099999904632568,2.099999904632568,,,,,,,8730.0,250.0,260.0,1.76,0.14,0.2,1.560999999999999,0.058,0.064,0.0,0.0,0.0,114.0,3.0,3.0
75,MASCARA-3,9.954019568952242,0.192181926837955,0.199838007032432,5.179999999999999,0.22,0.209999999999999,1.272,0.021,0.021999999999999,2.5999999046325635,5.099999904632568,3.599999904632568,,,,,,,6508.0,49.0,49.0,1.461,0.056,0.059999999999999,1.506,0.021999999999999,0.021999999999999,,,,,,
76,MASCARA-4,5.264110639386816,0.5400636695951301,0.5400636695951301,3.1,0.9,0.9,1.53,0.07,0.04,112.5,1.700000047683715,1.5,47.41475258740968,22.9479117737051,13.62590017223517,104.0,7.0,13.0,7800.0,200.0,200.0,1.75,0.05,0.05,1.919999999999999,0.11,0.11,0.0,0.0,0.0,46.5,1.0,1.0
